market_hash_name,base_name,wear,min_price,suggested_price,mean_price,quantity
M4A4 | Howl (Factory New),M4A4 | Howl,Factory New,6979.61,8513.21,8545.66,3
Souvenir AUG | Sand Storm (Minimal Wear),Souvenir AUG | Sand Storm,Minimal Wear,2.39,2.7,6.67,44
Souvenir AUG | Sand Storm (Well-Worn),Souvenir AUG | Sand Storm,Well-Worn,,2.01,,0
Souvenir AUG | Snake Pit (Battle-Scarred),Souvenir AUG | Snake Pit,Battle-Scarred,0.02,0.03,0.47,44
Souvenir AUG | Snake Pit (Factory New),Souvenir AUG | Snake Pit,Factory New,0.12,0.17,5.52,77
Souvenir AUG | Snake Pit (Field-Tested),Souvenir AUG | Snake Pit,Field-Tested,0.02,0.03,1.08,247
Souvenir AUG | Snake Pit (Minimal Wear),Souvenir AUG | Snake Pit,Minimal Wear,0.03,0.05,1.54,156
Souvenir AUG | Snake Pit (Well-Worn),Souvenir AUG | Snake Pit,Well-Worn,0.06,0.08,0.71,30
Souvenir AUG | Spalted Wood (Battle-Scarred),Souvenir AUG | Spalted Wood,Battle-Scarred,0.09,0.08,0.33,5
Souvenir AUG | Spalted Wood (Factory New),Souvenir AUG | Spalted Wood,Factory New,0.03,0.04,1.6,157
Souvenir AUG | Spalted Wood (Field-Tested),Souvenir AUG | Spalted Wood,Field-Tested,0.02,0.03,0.58,320
Souvenir AUG | Spalted Wood (Minimal Wear),Souvenir AUG | Spalted Wood,Minimal Wear,0.02,0.03,1.11,160
Souvenir AUG | Spalted Wood (Well-Worn),Souvenir AUG | Spalted Wood,Well-Worn,0.02,0.03,0.22,28
Souvenir AUG | Steel Sentinel (Battle-Scarred),Souvenir AUG | Steel Sentinel,Battle-Scarred,0.02,0.03,0.02,9
Souvenir AUG | Steel Sentinel (Factory New),Souvenir AUG | Steel Sentinel,Factory New,0.73,0.59,0.73,1
Souvenir AUG | Steel Sentinel (Field-Tested),Souvenir AUG | Steel Sentinel,Field-Tested,0.02,0.03,0.07,24
Souvenir AUG | Steel Sentinel (Minimal Wear),Souvenir AUG | Steel Sentinel,Minimal Wear,0.13,0.06,0.25,13
