market_hash_name,base_name,wear,min_price,suggested_price,mean_price,quantity
AK-47 | Ice Coaled (Well-Worn),AK-47 | Ice Coaled,Well-Worn,3.42,4.57,7.73,32
AK-47 | Inheritance (Battle-Scarred),AK-47 | Inheritance,Battle-Scarred,46.01,58.34,66.6,47
AK-47 | Inheritance (Factory New),AK-47 | Inheritance,Factory New,187.9,223.74,235.31,37
AK-47 | Inheritance (Field-Tested),AK-47 | Inheritance,Field-Tested,65.0,76.65,93.19,131
AK-47 | Inheritance (Minimal Wear),AK-47 | Inheritance,Minimal Wear,114.0,139.31,136.53,86
AK-47 | Inheritance (Well-Worn),AK-47 | Inheritance,Well-Worn,65.28,73.66,92.97,15
AK-47 | Jaguar (Battle-Scarred),AK-47 | Jaguar,Battle-Scarred,66.94,69.85,76.45,5
AK-47 | Jaguar (Factory New),AK-47 | Jaguar,Factory New,297.63,342.37,382.58,5
AK-47 | Jaguar (Field-Tested),AK-47 | Jaguar,Field-Tested,77.0,91.09,94.8,29
AK-47 | Jaguar (Minimal Wear),AK-47 | Jaguar,Minimal Wear,144.88,170.44,181.46,26
AK-47 | Jaguar (Well-Worn),AK-47 | Jaguar,Well-Worn,65.31,72.16,89.82,4
AK-47 | Jet Set (Battle-Scarred),AK-47 | Jet Set,Battle-Scarred,,261.67,,0
AK-47 | Jet Set (Factory New),AK-47 | Jet Set,Factory New,839.08,798.14,948.14,4
AK-47 | Jet Set (Field-Tested),AK-47 | Jet Set,Field-Tested,336.06,333.63,336.06,1
AK-47 | Jet Set (Minimal Wear),AK-47 | Jet Set,Minimal Wear,429.94,458.5,457.16,6
AK-47 | Jet Set (Well-Worn),AK-47 | Jet Set,Well-Worn,,270.76,,0
AK-47 | Jungle Spray (Battle-Scarred),AK-47 | Jungle Spray,Battle-Scarred,4.13,4.21,11.47,7
AK-47 | Jungle Spray (Factory New),AK-47 | Jungle Spray,Factory New,,130.42,,0
AK-47 | Jungle Spray (Field-Tested),AK-47 | Jungle Spray,Field-Tested,3.89,4.64,133.93,27
AK-47 | Jungle Spray (Minimal Wear),AK-47 | Jungle Spray,Minimal Wear,9.69,11.76,82.81,20
AK-47 | Jungle Spray (Well-Worn),AK-47 | Jungle Spray,Well-Worn,10.0,4.3,22.5,2
AK-47 | Leet Museo (Battle-Scarred),AK-47 | Leet Museo,Battle-Scarred,43.8,43.22,43.83,2
AK-47 | Leet Museo (Factory New),AK-47 | Leet Museo,Factory New,335.5,405.2,373.82,13
AK-47 | Leet Museo (Field-Tested),AK-47 | Leet Museo,Field-Tested,81.89,112.18,103.75,43
AK-47 | Leet Museo (Minimal Wear),AK-47 | Leet Museo,Minimal Wear,150.42,209.01,185.48,25
AK-47 | Leet Museo (Well-Worn),AK-47 | Leet Museo,Well-Worn,76.32,53.49,92.11,5
AK-47 | Legion of Anubis (Battle-Scarred),AK-47 | Legion of Anubis,Battle-Scarred,4.36,4.7,6.92,29
AK-47 | Legion of Anubis (Factory New),AK-47 | Legion of Anubis,Factory New,18.09,21.84,50.89,77
AK-47 | Legion of Anubis (Field-Tested),AK-47 | Legion of Anubis,Field-Tested,4.63,5.62,8.32,415
AK-47 | Legion of Anubis (Minimal Wear),AK-47 | Legion of Anubis,Minimal Wear,7.55,8.91,12.54,302
AK-47 | Legion of Anubis (Well-Worn),AK-47 | Legion of Anubis,Well-Worn,5.97,6.95,9.42,38
AK-47 | Midnight Laminate (Battle-Scarred),AK-47 | Midnight Laminate,Battle-Scarred,12.0,12.3,30.91,9
AK-47 | Midnight Laminate (Factory New),AK-47 | Midnight Laminate,Factory New,73.24,80.31,90.99,55
AK-47 | Midnight Laminate (Field-Tested),AK-47 | Midnight Laminate,Field-Tested,14.06,15.13,20.84,73
AK-47 | Midnight Laminate (Minimal Wear),AK-47 | Midnight Laminate,Minimal Wear,46.42,44.22,55.18,67
AK-47 | Midnight Laminate (Well-Worn),AK-47 | Midnight Laminate,Well-Worn,34.88,14.15,34.88,1
AK-47 | Neon Revolution (Battle-Scarred),AK-47 | Neon Revolution,Battle-Scarred,18.0,22.88,23.47,24
AK-47 | Neon Revolution (Factory New),AK-47 | Neon Revolution,Factory New,145.0,177.59,187.5,11
AK-47 | Neon Revolution (Field-Tested),AK-47 | Neon Revolution,Field-Tested,20.0,23.5,37.73,105
AK-47 | Neon Revolution (Minimal Wear),AK-47 | Neon Revolution,Minimal Wear,38.48,47.5,46.87,53
AK-47 | Neon Revolution (Well-Worn),AK-47 | Neon Revolution,Well-Worn,23.49,28.91,30.03,8
AK-47 | Neon Rider (Battle-Scarred),AK-47 | Neon Rider,Battle-Scarred,35.94,42.76,39.75,17
AK-47 | Neon Rider (Factory New),AK-47 | Neon Rider,Factory New,205.3,248.25,282.98,21
AK-47 | Neon Rider (Field-Tested),AK-47 | Neon Rider,Field-Tested,38.37,44.24,78.53,87
AK-47 | Neon Rider (Minimal Wear),AK-47 | Neon Rider,Minimal Wear,76.18,92.39,95.76,66
AK-47 | Neon Rider (Well-Worn),AK-47 | Neon Rider,Well-Worn,40.0,49.25,45.2,13
AK-47 | Nightwish (Battle-Scarred),AK-47 | Nightwish,Battle-Scarred,4.3,4.47,10.28,48
AK-47 | Nightwish (Factory New),AK-47 | Nightwish,Factory New,63.08,83.0,278.88,51
AK-47 | Nightwish (Field-Tested),AK-47 | Nightwish,Field-Tested,5.98,7.67,10.37,368
AK-47 | Nightwish (Minimal Wear),AK-47 | Nightwish,Minimal Wear,13.17,16.08,24.63,181
AK-47 | Nightwish (Well-Worn),AK-47 | Nightwish,Well-Worn,4.88,5.9,33.7,133
AK-47 | Nouveau Rouge (Battle-Scarred),AK-47 | Nouveau Rouge,Battle-Scarred,27.99,31.98,32.04,6
AK-47 | Nouveau Rouge (Factory New),AK-47 | Nouveau Rouge,Factory New,359.03,382.18,412.67,4
AK-47 | Nouveau Rouge (Field-Tested),AK-47 | Nouveau Rouge,Field-Tested,70.0,86.05,79.54,19
AK-47 | Nouveau Rouge (Minimal Wear),AK-47 | Nouveau Rouge,Minimal Wear,168.0,180.77,185.11,19
AK-47 | Nouveau Rouge (Well-Worn),AK-47 | Nouveau Rouge,Well-Worn,29.45,32.38,35.38,13
AK-47 | Olive Polycam (Battle-Scarred),AK-47 | Olive Polycam,Battle-Scarred,0.2,0.16,0.43,14
AK-47 | Olive Polycam (Factory New),AK-47 | Olive Polycam,Factory New,0.57,0.59,3.19,314
AK-47 | Olive Polycam (Field-Tested),AK-47 | Olive Polycam,Field-Tested,0.22,0.19,0.91,202
AK-47 | Olive Polycam (Minimal Wear),AK-47 | Olive Polycam,Minimal Wear,0.28,0.29,1.05,126
AK-47 | Olive Polycam (Well-Worn),AK-47 | Olive Polycam,Well-Worn,0.15,0.19,0.77,41
AK-47 | Orbit Mk01 (Battle-Scarred),AK-47 | Orbit Mk01,Battle-Scarred,20.63,21.23,20.64,2
AK-47 | Orbit Mk01 (Factory New),AK-47 | Orbit Mk01,Factory New,49.97,58.68,83.77,21
AK-47 | Orbit Mk01 (Field-Tested),AK-47 | Orbit Mk01,Field-Tested,18.57,21.58,27.07,35
AK-47 | Orbit Mk01 (Minimal Wear),AK-47 | Orbit Mk01,Minimal Wear,26.0,27.4,43.35,38
AK-47 | Orbit Mk01 (Well-Worn),AK-47 | Orbit Mk01,Well-Worn,23.28,22.18,24.66,4
AK-47 | Panthera onca (Battle-Scarred),AK-47 | Panthera onca,Battle-Scarred,178.5,189.51,179.75,2
AK-47 | Panthera onca (Factory New),AK-47 | Panthera onca,Factory New,421.09,538.85,734.23,13
AK-47 | Panthera onca (Field-Tested),AK-47 | Panthera onca,Field-Tested,183.0,246.31,215.69,10
AK-47 | Panthera onca (Minimal Wear),AK-47 | Panthera onca,Minimal Wear,290.0,298.77,327.5,2
AK-47 | Panthera onca (Well-Worn),AK-47 | Panthera onca,Well-Worn,185.86,177.01,292.43,2
AK-47 | Phantom Disruptor (Battle-Scarred),AK-47 | Phantom Disruptor,Battle-Scarred,2.77,3.2,6.66,35
AK-47 | Phantom Disruptor (Factory New),AK-47 | Phantom Disruptor,Factory New,16.75,20.33,27.77,37
AK-47 | Phantom Disruptor (Field-Tested),AK-47 | Phantom Disruptor,Field-Tested,3.22,3.68,5.98,344
AK-47 | Phantom Disruptor (Minimal Wear),AK-47 | Phantom Disruptor,Minimal Wear,6.03,7.33,14.03,124
AK-47 | Phantom Disruptor (Well-Worn),AK-47 | Phantom Disruptor,Well-Worn,3.78,5.03,6.66,27
AK-47 | Point Disarray (Battle-Scarred),AK-47 | Point Disarray,Battle-Scarred,8.93,11.2,44.68,30
AK-47 | Point Disarray (Factory New),AK-47 | Point Disarray,Factory New,63.0,68.72,99.96,19
AK-47 | Point Disarray (Field-Tested),AK-47 | Point Disarray,Field-Tested,10.44,11.73,19.18,245
AK-47 | Point Disarray (Minimal Wear),AK-47 | Point Disarray,Minimal Wear,17.5,21.01,195.34,70
AK-47 | Point Disarray (Well-Worn),AK-47 | Point Disarray,Well-Worn,11.82,14.12,20.18,9
AK-47 | Predator (Battle-Scarred),AK-47 | Predator,Battle-Scarred,19.43,19.97,96.77,8
AK-47 | Predator (Factory New),AK-47 | Predator,Factory New,74.6,62.59,74.6,1
AK-47 | Predator (Field-Tested),AK-47 | Predator,Field-Tested,19.5,20.06,110.51,38
AK-47 | Predator (Minimal Wear),AK-47 | Predator,Minimal Wear,22.57,24.81,65.07,21
AK-47 | Predator (Well-Worn),AK-47 | Predator,Well-Worn,24.66,21.1,30.0,2
AK-47 | Rat Rod (Battle-Scarred),AK-47 | Rat Rod,Battle-Scarred,3.41,3.33,19.1,23
AK-47 | Rat Rod (Factory New),AK-47 | Rat Rod,Factory New,32.32,31.87,48.64,7
AK-47 | Rat Rod (Field-Tested),AK-47 | Rat Rod,Field-Tested,2.92,3.6,6.31,166
AK-47 | Rat Rod (Minimal Wear),AK-47 | Rat Rod,Minimal Wear,7.6,9.13,11.24,30
AK-47 | Rat Rod (Well-Worn),AK-47 | Rat Rod,Well-Worn,2.9,3.42,4.6,38
AK-47 | Red Laminate (Battle-Scarred),AK-47 | Red Laminate,Battle-Scarred,70.62,67.26,327.49,7
AK-47 | Red Laminate (Factory New),AK-47 | Red Laminate,Factory New,947.85,382.09,947.85,1
AK-47 | Red Laminate (Field-Tested),AK-47 | Red Laminate,Field-Tested,56.16,65.28,247.19,50
AK-47 | Red Laminate (Minimal Wear),AK-47 | Red Laminate,Minimal Wear,105.69,124.13,366.32,33
AK-47 | Red Laminate (Well-Worn),AK-47 | Red Laminate,Well-Worn,57.54,69.44,230.43,9
AK-47 | Redline (Battle-Scarred),AK-47 | Redline,Battle-Scarred,23.88,30.67,60.67,32
AK-47 | Redline (Field-Tested),AK-47 | Redline,Field-Tested,33.0,40.23,152.15,355
AK-47 | Redline (Minimal Wear),AK-47 | Redline,Minimal Wear,215.4,276.74,349.22,44
AK-47 | Redline (Well-Worn),AK-47 | Redline,Well-Worn,24.05,31.66,139.68,26
AK-47 | Safari Mesh (Battle-Scarred),AK-47 | Safari Mesh,Battle-Scarred,0.06,0.08,1.03,220
AK-47 | Safari Mesh (Factory New),AK-47 | Safari Mesh,Factory New,1.89,1.79,41.42,25
AK-47 | Safari Mesh (Field-Tested),AK-47 | Safari Mesh,Field-Tested,0.06,0.08,0.94,1276
AK-47 | Safari Mesh (Minimal Wear),AK-47 | Safari Mesh,Minimal Wear,0.15,0.2,2.02,662
AK-47 | Safari Mesh (Well-Worn),AK-47 | Safari Mesh,Well-Worn,0.06,0.08,1.06,183
AK-47 | Safety Net (Battle-Scarred),AK-47 | Safety Net,Battle-Scarred,2.05,2.08,17.32,7
AK-47 | Safety Net (Factory New),AK-47 | Safety Net,Factory New,7.49,7.74,20.4,100
AK-47 | Safety Net (Field-Tested),AK-47 | Safety Net,Field-Tested,1.69,2.1,4.53,48
AK-47 | Safety Net (Minimal Wear),AK-47 | Safety Net,Minimal Wear,3.23,3.59,5.74,53
AK-47 | Safety Net (Well-Worn),AK-47 | Safety Net,Well-Worn,2.02,2.7,4.63,10
AK-47 | Searing Rage (Battle-Scarred),AK-47 | Searing Rage,Battle-Scarred,2.81,3.63,11.57,61
AK-47 | Searing Rage (Factory New),AK-47 | Searing Rage,Factory New,25.67,29.61,40.55,41
AK-47 | Searing Rage (Field-Tested),AK-47 | Searing Rage,Field-Tested,4.47,5.26,5.96,227
AK-47 | Searing Rage (Minimal Wear),AK-47 | Searing Rage,Minimal Wear,7.73,9.73,12.41,107
AK-47 | Searing Rage (Well-Worn),AK-47 | Searing Rage,Well-Worn,3.65,4.49,4.5,104
AK-47 | Slate (Battle-Scarred),AK-47 | Slate,Battle-Scarred,2.34,3.08,7.83,355
AK-47 | Slate (Factory New),AK-47 | Slate,Factory New,13.0,16.4,37.79,204
AK-47 | Slate (Field-Tested),AK-47 | Slate,Field-Tested,2.76,3.9,6.33,1702
AK-47 | Slate (Minimal Wear),AK-47 | Slate,Minimal Wear,5.29,6.42,10.72,847
AK-47 | Slate (Well-Worn),AK-47 | Slate,Well-Worn,2.54,3.18,6.05,326
AK-47 | Steel Delta (Battle-Scarred),AK-47 | Steel Delta,Battle-Scarred,1.49,1.54,4.71,43
AK-47 | Steel Delta (Factory New),AK-47 | Steel Delta,Factory New,3.44,3.55,41.54,59
AK-47 | Steel Delta (Field-Tested),AK-47 | Steel Delta,Field-Tested,0.93,1.11,3.02,136
AK-47 | Steel Delta (Minimal Wear),AK-47 | Steel Delta,Minimal Wear,1.69,1.81,4.52,84
AK-47 | Steel Delta (Well-Worn),AK-47 | Steel Delta,Well-Worn,1.35,1.59,2.44,22
AK-47 | The Empress (Battle-Scarred),AK-47 | The Empress,Battle-Scarred,30.41,33.56,39.57,34
AK-47 | The Empress (Factory New),AK-47 | The Empress,Factory New,194.05,234.65,218.91,17
AK-47 | The Empress (Field-Tested),AK-47 | The Empress,Field-Tested,33.0,41.21,41.23,147
AK-47 | The Empress (Minimal Wear),AK-47 | The Empress,Minimal Wear,58.0,67.65,74.27,76
AK-47 | The Empress (Well-Worn),AK-47 | The Empress,Well-Worn,29.73,35.25,90.07,34
AK-47 | The Outsiders (Battle-Scarred),AK-47 | The Outsiders,Battle-Scarred,3.97,4.39,9.43,89
AK-47 | The Outsiders (Factory New),AK-47 | The Outsiders,Factory New,47.39,54.71,83.38,23
AK-47 | The Outsiders (Field-Tested),AK-47 | The Outsiders,Field-Tested,5.64,7.06,11.24,166
AK-47 | The Outsiders (Minimal Wear),AK-47 | The Outsiders,Minimal Wear,12.2,14.89,24.76,96
AK-47 | The Outsiders (Well-Worn),AK-47 | The Outsiders,Well-Worn,4.41,5.89,12.53,57
AK-47 | Uncharted (Battle-Scarred),AK-47 | Uncharted,Battle-Scarred,0.24,0.34,0.71,178
AK-47 | Uncharted (Factory New),AK-47 | Uncharted,Factory New,1.23,1.32,4.47,202
AK-47 | Uncharted (Field-Tested),AK-47 | Uncharted,Field-Tested,0.24,0.34,0.77,570
AK-47 | Uncharted (Minimal Wear),AK-47 | Uncharted,Minimal Wear,0.41,0.57,2.52,331
AK-47 | Uncharted (Well-Worn),AK-47 | Uncharted,Well-Worn,0.54,0.73,1.1,99
AK-47 | VariCamo Grey (Battle-Scarred),AK-47 | VariCamo Grey,Battle-Scarred,0.4,0.41,0.8,17
AK-47 | VariCamo Grey (Factory New),AK-47 | VariCamo Grey,Factory New,1.12,1.18,6.11,25
AK-47 | VariCamo Grey (Field-Tested),AK-47 | VariCamo Grey,Field-Tested,0.39,0.4,1.09,20
AK-47 | VariCamo Grey (Minimal Wear),AK-47 | VariCamo Grey,Minimal Wear,2.98,0.7,5.08,4
AK-47 | VariCamo Grey (Well-Worn),AK-47 | VariCamo Grey,Well-Worn,0.4,0.55,0.5,21
AK-47 | Vulcan (Battle-Scarred),AK-47 | Vulcan,Battle-Scarred,159.84,189.54,263.33,9
AK-47 | Vulcan (Factory New),AK-47 | Vulcan,Factory New,800.0,995.04,1453.03,21
AK-47 | Vulcan (Field-Tested),AK-47 | Vulcan,Field-Tested,211.86,276.84,335.73,61
AK-47 | Vulcan (Minimal Wear),AK-47 | Vulcan,Minimal Wear,495.18,596.6,639.64,39
AK-47 | Vulcan (Well-Worn),AK-47 | Vulcan,Well-Worn,180.95,207.4,196.98,15
AK-47 | Wasteland Rebel (Battle-Scarred),AK-47 | Wasteland Rebel,Battle-Scarred,38.93,39.02,38.93,1
AK-47 | Wasteland Rebel (Factory New),AK-47 | Wasteland Rebel,Factory New,246.5,241.66,521.3,6
AK-47 | Wasteland Rebel (Field-Tested),AK-47 | Wasteland Rebel,Field-Tested,35.78,41.42,88.41,29
